city_name,lat,lon
Sankt Ingbert,49.27697,7.11672
Sankt Georgen im Schwarzwald,48.12716,8.33513
St. Georg,53.55513,10.01231
Sankt Augustin,50.77538,7.197
Alt-Sanitz,53.81363,13.58786
Sangerhausen,51.47221,11.29533
Sandhausen,49.34278,8.65917
Sandersdorf,51.62841,12.26492
Sande,53.50489,8.01418
Salzweg,48.61667,13.48333
Salzwedel,52.85435,11.1525
Salzkotten,51.6717,8.60092
Salzhemmendorf,52.067,9.5872
Salzgitter,52.15705,10.4154
Salzbergen,52.33333,7.35
Salach,48.69198,9.73715
Saerbeck,52.17372,7.63395
Saarwellingen,49.3543,6.80487
Saarlouis,49.31366,6.75154
Saarburg,49.60641,6.54365
Saarbrücken,49.23262,7.00982
Saalfeld,50.64826,11.36536
Saal,48.90099,11.93196
Rüthen,51.4909,8.43596
Rutesheim,48.80808,8.94536
Rüsselsheim am Main,49.98955,8.42251
Ruppichteroth,50.84367,7.48409
Runkel,50.40574,8.15457
Rummelsburg,52.50146,13.4934
Rülzheim,49.15312,8.29287
Ruhstorf,48.53976,12.68305
Ruhpolding,47.76667,12.65
Ruhla,50.89296,10.36573
Rudow,52.42407,13.48529
Rudolstadt,50.72043,11.34046
Rüdesheim am Rhein,49.9789,7.92442
Rudersberg,48.88515,9.52927
Roxel,51.95229,7.53677
Rottweil,48.16783,8.62719
Rotthalmünster,48.35825,13.20162
Rottendorf,49.7923,10.02593
Rottenburg an der Laaber,48.70233,12.02717
Rottenburg,48.47629,8.93528
Rottach-Egern,47.68966,11.77065
Rotherbaum,53.5665,9.99265
Rothenburg ob der Tauber,49.37885,10.18711
Rothenburg,51.334,14.96874
Röthenbach an der Pegnitz,49.48301,11.24116
Roth,49.24762,11.09111
Roetgen,50.65,6.2
Rotenburg an der Fulda,50.99556,9.72838
Rotenburg,53.11125,9.41082
Rot am See,49.25,10.01667
Rot,49.26389,8.63444
Rostock,54.0887,12.14049
Roßwein,51.06589,13.18308
Roßtal,49.39567,10.88848
Roßleben,51.29886,11.43435
Roßlau,51.88736,12.24192
Roßdorf,49.85972,8.76167
Rösrath,50.89559,7.18175
Rosenthal,52.59976,13.37774
Rosenheim,47.85637,12.12247
Rosenfeld,48.28639,8.72357
Rosdorf,51.5,9.9
Rosbach vor der Höhe,50.30332,8.68976
Ronnenberg,52.31939,9.65544
Ronneburg,50.8634,12.18666
Rommerskirchen,51.03333,6.68333
Röhrmoos,48.32966,11.44672
Rohrdorf,47.79713,12.1701
Rohrbach,48.61667,11.56667
Rohrbach,48.28933,12.55603
Rohr,48.71852,9.09209
Rödinghausen,52.25,8.48333
Roding,49.19426,12.51956
Rodewisch,50.53083,12.41329
Rodenberg,52.31152,9.3564
Rodenbach,50.15,9.03333
Rodalben,49.2394,7.63962
Rockenhausen,49.62974,7.82134
Rochlitz,51.05007,12.79754
Röbel,53.37555,12.60372
Ritterhude,53.18289,8.7355
Rissen,53.58453,9.76594
Rinteln,52.18604,9.07917
Rimpar,49.85692,9.95705
Rimbach,49.625,8.76306
Rietberg,51.80924,8.42841
Riesa,51.30777,13.29168
Rielasingen-Worblingen,47.73465,8.84013
Riehl,50.96686,6.97572
Riegelsberg,49.3,6.93333
Riedlingen,48.15455,9.47558
Riedering,47.83874,12.20778
Riedenburg,48.96383,11.6888
Ribnitz-Damgarten,54.2422,12.45666
Rheurdt,51.46667,6.46667
Rheinsberg,53.09972,12.89885
Rheinhausen,51.40055,6.71187
Rheinfelden,47.56013,7.78715
Rheine,52.28509,7.44055
Rheinberg,51.54649,6.59525
Rheinbach,50.62562,6.94911
Rheinau,48.87173,8.19133
Rhede,51.83537,6.69602
Rheda-Wiedenbrück,51.84967,8.30017
Reutlingen,48.49144,9.20427
Reppenstedt,53.25,10.35
Renningen,48.76974,8.93871
Rennertshofen,48.75943,11.04544
